feature,coef,abs_coef
Std_Acc5_Mean_Mem20_PeakRatio_Chroma_F_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,-0.006057433657085512,0.006057433657085512
LPC_Overall_Average_3,0.005793352759870307,0.005793352759870307
Std_Acc5_Std_Mem20_PeakRatio_Chroma_C#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.0057080293022290386,0.0057080293022290386
Spectral_Centroid_Overall_Average_1,-0.005702997877897353,0.005702997877897353
Mean_Acc5_Std_Mem20_PeakRatio_Chroma_E_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,-0.005547775404269664,0.005547775404269664
Area_Method_of_Moments_Overall_Standard_Deviation_10,-0.00548913944090537,0.00548913944090537
MFCC_Overall_Average_2,-0.005442725896815832,0.005442725896815832
Std_Acc5_Std_Mem20_PeakRatio_Chroma_F_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,-0.00536249066893282,0.00536249066893282
LPC_Overall_Standard_Deviation_1,-0.005000373761332021,0.005000373761332021
Area_Method_of_Moments_Overall_Standard_Deviation_8,0.004984802453396281,0.004984802453396281
genre_indie rock,-0.004903438963942193,0.004903438963942193
genre_united states,-0.004897600361278426,0.004897600361278426
Std_Acc5_Std_Mem20_PeakRatio_Chroma_E_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.004843638999702681,0.004843638999702681
Std_Acc5_Mean_Mem20_PeakRatio_Chroma_F#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.0048144353181599625,0.0048144353181599625
Mean_Acc5_Std_Mem20_PeakRatio_Chroma_C#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,-0.004805489824197484,0.004805489824197484
Mean_Acc5_Std_Mem20_PeakRatio_Chroma_B_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,-0.004772054469121434,0.004772054469121434
genre_jazz,0.004613594449003989,0.004613594449003989
Mean_Acc5_Mean_Mem20_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,-0.004605328288076787,0.004605328288076787
Std_Acc5_Mean_Mem20_ZeroCrossings_HopSize512_WinSize512_Sum_AudioCh0,-0.004604868407752122,0.004604868407752122
Std_Acc5_Mean_Mem20_PeakRatio_Chroma_D_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,-0.0045519351264717706,0.0045519351264717706
LPC_Overall_Average_9,0.004511110697641152,0.004511110697641152
Std_Acc5_Std_Mem20_ZeroCrossings_HopSize512_WinSize512_Sum_AudioCh0,0.004472474015005987,0.004472474015005987
LPC_Overall_Average_2,0.004424186742683786,0.004424186742683786
genre_ambient,0.0044240695266100916,0.0044240695266100916
Area_Method_of_Moments_Overall_Average_9,-0.004286408996854861,0.004286408996854861
Std_Acc5_Mean_Mem20_PeakRatio_Average_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.004251476395717962,0.004251476395717962
Std_Acc5_Std_Mem20_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.004204633581359865,0.004204633581359865
Std_Acc5_Std_Mem20_PeakRatio_Average_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,-0.004161814794254065,0.004161814794254065
MFCC_Overall_Standard_Deviation_2,-0.004158497537327166,0.004158497537327166
LPC_Overall_Standard_Deviation_7,-0.003974733569377595,0.003974733569377595
Area_Method_of_Moments_Overall_Average_3,0.0037569142089428145,0.0037569142089428145
Spectral_Centroid_Overall_Standard_Deviation_1,0.003738912570896147,0.003738912570896147
Mean_Acc5_Mean_Mem20_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,-0.0036261216308690267,0.0036261216308690267
Std_Acc5_Mean_Mem20_PeakRatio_Chroma_G#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,-0.003327589936586786,0.003327589936586786
genre_pop rock,-0.0032975917827070336,0.0032975917827070336
LPC_Overall_Average_6,0.00312044430353069,0.00312044430353069
Std_Acc5_Mean_Mem20_PeakRatio_Chroma_C#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.0028326809994768665,0.0028326809994768665
LPC_Overall_Standard_Deviation_5,0.002776353512552704,0.002776353512552704
MFCC_Overall_Standard_Deviation_1,0.002767514430895318,0.002767514430895318
genre_techno,0.0027566549480847677,0.0027566549480847677
LPC_Overall_Average_5,0.0027470353893799954,0.0027470353893799954
genre_blues,0.0026829659161304448,0.0026829659161304448
genre_hip hop,0.0026763050954045978,0.0026763050954045978
MFCC_Overall_Standard_Deviation_13,0.00260994148957306,0.00260994148957306
Mean_Acc5_Std_Mem20_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.002559842527706885,0.002559842527706885
