feature,importance,category
Mean_Acc5_Std_Mem20_PeakRatio_Chroma_B_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.07212735185677047,audio:marsyas
Std_Acc5_Mean_Mem20_PeakRatio_Minimum_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.07131984764228719,audio:marsyas
Zero_Crossings_Overall_Average_1,0.06993933339899326,audio:lowlevel
Area_Method_of_Moments_Overall_Standard_Deviation_8,0.06835193812509041,audio:Area_MoM
MFCC_Overall_Standard_Deviation_12,0.06394570640557394,audio:MFCC_simple
Area_Method_of_Moments_Overall_Average_9,0.06291331590139339,audio:Area_MoM
Area_Method_of_Moments_Overall_Average_8,0.06246693889585128,audio:Area_MoM
Mean_Acc5_Mean_Mem20_PeakRatio_Chroma_G_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.06200337094580392,audio:marsyas
Mean_Acc5_Std_Mem20_PeakRatio_Chroma_D_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.06121278771197632,audio:marsyas
Area_Method_of_Moments_Overall_Standard_Deviation_10,0.06111274809851777,audio:Area_MoM
Spectral_Variability_Overall_Standard_Deviation_1,0.05773576721055069,audio:lowlevel
Mean_Acc5_Std_Mem20_PeakRatio_Chroma_E_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.05700025009140666,audio:marsyas
Std_Acc5_Std_Mem20_PeakRatio_Chroma_F#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.05692315737850134,audio:marsyas
Zero_Crossings_Overall_Standard_Deviation_1,0.05315455407490853,audio:lowlevel
Mean_Acc5_Std_Mem20_PeakRatio_Chroma_C_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.048816002305659016,audio:marsyas
Mean_Acc5_Mean_Mem20_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.045582344406560116,audio:marsyas
Std_Acc5_Mean_Mem20_PeakRatio_Chroma_C#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.043787816159285266,audio:marsyas
Mean_Acc5_Std_Mem20_PeakRatio_Chroma_A#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.043021335051990295,audio:marsyas
Mean_Acc5_Std_Mem20_PeakRatio_Chroma_G_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.04179432619328591,audio:marsyas
Mean_Acc5_Std_Mem20_PeakRatio_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.04035401305166709,audio:marsyas
